Zaman,Değer
2023-09-04,12.6770563
2023-09-04,12.4664097
2023-09-04,12.7217026
2023-09-04,13.0171509
2023-09-04,12.9803858
2023-09-04,12.2964125
2023-09-04,12.7219133
2023-09-04,12.6799393
2023-09-04,12.8039732
2023-09-04,12.5118799
2023-09-04,12.5016413
2023-09-04,12.8474569
2023-09-04,12.6468697
2023-09-04,12.5991631
2023-09-04,12.7065697
2023-09-04,12.9143944
2023-09-04,12.7209797
2023-09-04,12.5933065
2023-09-04,12.7152405
2023-09-04,12.8979683
2023-09-04,12.9142504
2023-09-04,12.4870567
2023-09-04,12.6525469
2023-09-04,12.8087997
2023-09-04,12.7904882
2023-09-04,12.7793541
2023-09-04,12.9304695
2023-09-04,12.7423077
2023-09-04,12.4844065
2023-09-04,12.4039097
2023-09-04,12.6108379
2023-09-04,12.7679691
2023-09-04,12.7120934
2023-09-04,12.6260586
2023-09-04,12.507082
2023-09-04,12.7268372
2023-09-04,12.7182503
2023-09-04,12.6103096
2023-09-04,12.5522346
2023-09-04,12.7098665
2023-09-04,12.8019304
2023-09-04,12.6761074
2023-09-04,12.7223072
2023-09-04,12.514432
2023-09-04,12.7588806
2023-09-04,12.5546408
2023-09-04,12.6127558
2023-09-04,12.8453226
2023-09-04,12.8307867
2023-09-04,12.6800823
2023-09-04,12.5284748
2023-09-04,12.5241098
2023-09-04,12.9507675
2023-09-04,12.7269154
2023-09-04,12.5171404
2023-09-04,12.565547
2023-09-04,12.8204193
2023-09-04,12.827282
2023-09-04,12.7673731
2023-09-04,12.8880997
2023-09-04,12.7162418
2023-09-04,12.7314901
2023-09-04,12.3914375
2023-09-04,12.9508314
2023-09-04,12.8880463
2023-09-04,12.6187181
2023-09-04,12.3725023
2023-09-04,12.5400429
2023-09-04,12.7451048
2023-09-04,12.7830515
2023-09-04,12.8371782
2023-09-04,12.5788822
2023-09-04,12.8461227
2023-09-04,12.7441568
2023-09-04,12.5791292
2023-09-04,12.6083717
2023-09-04,12.9080725
2023-09-04,12.6887951
2023-09-04,12.5444288
2023-09-04,12.5895576
2023-09-04,12.6854095
2023-09-04,12.7651863
2023-09-04,12.7507124
2023-09-04,12.5792389
2023-09-04,12.6849089
2023-09-04,12.8360806
2023-09-04,12.6734209
2023-09-04,12.6633577
2023-09-04,12.7292261
2023-09-04,12.5734348
2023-09-04,12.4596996
2023-09-04,12.5124416
2023-09-04,12.9301682
2023-09-04,12.8465395
2023-09-04,12.5129442
2023-09-04,12.5901747
2023-09-04,12.7755709
2023-09-04,12.9506435
2023-09-04,12.5769949
2023-09-04,12.4569159
2023-09-04,12.636302
2023-09-04,12.7870817
2023-09-04,12.7964354
2023-09-04,12.3867598
2023-09-04,12.809289
2023-09-04,12.69487
2023-09-04,12.6739502
2023-09-04,12.3857517
2023-09-04,12.7505245
2023-09-04,12.6780787
2023-09-04,12.5206308
2023-09-04,12.5183601
2023-09-04,12.7747421
2023-09-04,12.9568167
2023-09-04,13.1533127
2023-09-04,12.3590803
2023-09-04,12.6788054
2023-09-04,12.9393473
2023-09-04,12.777976
